id,category,old_file,hu_title,en_title,kresz_code,wiki_file,status
utasitastado_gyalogkerekparutosztott,Mandatory,utasitastado_gyalogkerekparutosztott.jpg,Osztott gyalog és kerékpárút,Separated track and part for pedal cycles and pedestrians,D-029,Hungary road sign D-029.svg,wikimedia
utasitastado_gyalogkerekparutosztottvege,Mandatory,utasitastado_gyalogkerekparutosztottvege.jpg,Osztott gyalog és kerékpárút vége,End of separated track and part for pedal cycles and pedestrians,D-030,Hungary road sign D-030.svg,wikimedia
utasitastado_gyalogut,Mandatory,utasitastado_gyalogut.jpg,Gyalogút,Footpath,D-025,Hungary road sign D-025.svg,wikimedia
utasitastado_gyalogutvege,Mandatory,utasitastado_gyalogutvege.jpg,Gyalogút vége,End of footpath,D-026,Hungary road sign D-026.svg,wikimedia
utasitastado_gyalogkerekparut919,Mandatory,utasitastado_gyalogkerekparut919.png,Gyalog és kerépkárút a kiegészítő táblán jelzett időtartományban,Shared route for pedal cycles and pedestrians in time range of additional board only,,,original
utasitastado_gyalogut69,Mandatory,utasitastado_gyalogut69.png,Gyalogút a kiegészítő táblán jelzett időtartományban,Footpath in time range of additional board only,,,original
utasitastado_autobuszsav,Mandatory,utasitastado_autobuszsav.jpg,Autóbuszsáv,Bus lane,,,original
utasitastado_autobuszsavvege,Mandatory,utasitastado_autobuszsavvege.jpg,Autóbuszsáv vége,End of Bus lane,,,original
utasitastado_holanchasznalatakotelezo,Mandatory,utasitastado_holanchasznalatakotelezo.jpg,Hólánc használata kötelező,Usage of snow chain required,D-033,Hungary road sign D-033.svg,wikimedia
utasitastado_holanchasznalatakotelezovege,Mandatory,utasitastado_holanchasznalatakotelezovege.jpg,Hólánc használata kötelező vége,End of usage of snow chain required,D-034,Hungary road sign D-034.svg,wikimedia
utasitastado_gyalogosovezet,Mandatory,utasitastado_gyalogosovezet.jpg,"Gyalogos övezet. Ha időszakot megjelölő kiegészítő tábla van, az ott lakók járművei és a kerékpárosok az időszakon kívül közlekedhetnek max 10km6h-s sebességgel.",Pedestrian zone.,E-032,Hungary road sign E-032.svg,wikimedia
utasitastado_gyalogosovezetvege,Mandatory,utasitastado_gyalogosovezetvege.jpg,Gyalogos övezet vége,End of pedestrian zone.,E-033,Hungary road sign E-033.svg,wikimedia
kulonleges_gyalogoskerekparosovezet,Mandatory,kulonleges_gyalogoskerekparosovezet.jpg,Gyalogos és kerékpáros övezet,Pedestrian and cycles zone,E-036,Hungary road sign E-036.svg,wikimedia
kulonleges_gyalogoskerekparosovezetvege,Mandatory,kulonleges_gyalogoskerekparosovezetvege.jpg,Gyalogos és kerépkáros övezet vége,End of pedestrian and cycles zone,E-037,Hungary road sign E-037.svg,wikimedia
utasitastado_kotelezohaladasiiranyveszelyesanyagotszallitojarmureszereb,Mandatory,utasitastado_kotelezohaladasiiranyveszelyesanyagotszallitojarmureszereb.jpg,Kötelező haladási itány balra veszélyes anyagot szállító jármű részére,Proceed in direction indicated by the arrow. Left Vehicles which transporting dangerous cargo only,D-019,Hungary road sign D-019.svg,wikimedia
utasitastado_kotelezohaladasiiranyveszelyesanyagotszallitojarmureszere,Mandatory,utasitastado_kotelezohaladasiiranyveszelyesanyagotszallitojarmureszere.jpg,Kötelező haladási itány egyenesen veszélyes anyagot szállító jármű részére,Proceed in direction indicated by the arrow. Ahead Vehicles which transporting dangerous cargo only,D-020,Hungary road sign D-020.svg,wikimedia
utasitastado_kotelezohaladasiiranyveszelyesanyagotszallitojarmureszerej,Mandatory,utasitastado_kotelezohaladasiiranyveszelyesanyagotszallitojarmureszerej.jpg,Kötelező haladási itány jobbra anyagot szállító jármű részére,Proceed in direction indicated by the arrow. Right Vehicles which transporting dangerous cargo only,D-018,Hungary road sign D-018.svg,wikimedia
tilalmi_autobusszalbehajtanitilos,Prohibitory,tilalmi_autobusszalbehajtanitilos.jpg,Autóbusszal behajtani tilos!,No bus!,C-042,Hungary road sign C-042.svg,wikimedia
tilalmi_balrabekanyarodnitilos,Prohibitory,tilalmi_balrabekanyarodnitilos.jpg,Balra bekanyarodni tilos!,No left turn!,C-028,Hungary road sign C-028.svg,wikimedia
tilalmi_behajtanitilos,Prohibitory,tilalmi_behajtanitilos.png,Behajtani tilos!,No entry!,C-001,Hungary road sign C-001.svg,wikimedia
tilalmi_eloznitilos,Prohibitory,tilalmi_eloznitilos.jpg,"Előzni tilos! A tilalom nem vonatkozik kétkerekű motorkerékpárnak, segédmotoros kerékpárnak, kerékpárnak, állati erővel vont járműnek és kézikocsinak gépjárművel való előzésére, továbbá az úttest közepén haladó villamos előzésére.","No overtaking! Except for motorcycle, cycle, moped, tram on center the route overtaking with automotive vehicles.",C-031,Hungary road sign C-031.svg,wikimedia
tilalmi_elozesitilalomvege,Prohibitory,tilalmi_elozesitilalomvege.jpg,Előzési tilalom vége!,End of restriction of overtaking!,C-045,Hungary road sign C-045.svg,wikimedia
tilalmi_gyalogoskozlekedesetilos,Prohibitory,tilalmi_gyalogoskozlekedesetilos.jpg,Gyalogosok közlekedése tilos!,No pedestrians!,C-013,Hungary road sign C-013.svg,wikimedia
tilalmi_gepjarmuvelmgvlassujbehajtanitilos,Prohibitory,tilalmi_gepjarmuvelmgvlassujbehajtanitilos.jpg,"Gépjárművel, kivéve kétkerekű motorkerékpárt, mezőgazdasági vontatóval lassújárművel behajtani tilos!","No automotive vehicles, Agricultural vehicles, slow vehicles except for motorcycles!",C-019,Hungary road sign C-019.svg,wikimedia
tilalmi_hosszusagkorlatozas,Prohibitory,tilalmi_hosszusagkorlatozas.jpg,Hosszúságkorlátozás! A megjelöltnél hosszabb járművel (járműszerelvénnyel) az így megjelölt úton közlekedni tilos!,No vehicles which length over maximum width shown!,C-025,Hungary road sign C-025.svg,wikimedia
tilalmi_jarmuszerelvennyelbehajtanitilos,Prohibitory,tilalmi_jarmuszerelvennyelbehajtanitilos.jpg,Járműszerelvénnyel behajtani tilos!,No towed caravans!,C-009,Hungary road sign C-009.svg,wikimedia
tilalmi_jobbrabekanyarodnitilos,Prohibitory,tilalmi_jobbrabekanyarodnitilos.jpg,Jobbra bekanyarodni tilos!,No turn right!,C-029,Hungary road sign C-029.svg,wikimedia
tilalmi_kerekparralbehajtanitilos,Prohibitory,tilalmi_kerekparralbehajtanitilos.jpg,Kerékpárral behajtani tilos!,No entry with pedal cycles!,C-005,Hungary road sign C-005.svg,wikimedia
tilalmi_kezikocsivalbemennitilos,Prohibitory,tilalmi_kezikocsivalbemennitilos.jpg,Kézikocsival bemenni tilos!,No entry with handcart!,C-015,Hungary road sign C-015.svg,wikimedia
tilalmi_kornyezetvedelmiovezet,Prohibitory,tilalmi_kornyezetvedelmiovezet.jpg,Környezetvédelmi övezet!,Environment zone!,,,original
tilalmi_kornyezetvedelmiovezetkek,Prohibitory,tilalmi_kornyezetvedelmiovezetkek.png,Környezetvédelmi övezet! Behajtani tilos azongépjárművekkel melyek a környezetvédelmi igazolólaphoz tartozó hatósági jelzésen /rendszámtáblán/ megjelölt szinnel azonos a kiegészítő táblán megjelölt színjelzés!,Environment zone! No entry those vehicles which environmental signature on license plate shown on additional board!,,,original
tilalmi_kornyezetvedelmiovezetvege,Prohibitory,tilalmi_kornyezetvedelmiovezetvege.jpg,Környezetvédelmi övezet vége!,End of environment zone!,,,original
tilalmi_kotelezomegallasvamcustoms,Prohibitory,tilalmi_kotelezomegallasvamcustoms.jpg,Kötelező megállás VÁM!,Forced STOP! Customs!,C-034,Hungary road sign C-034.svg,wikimedia
tilalmi_legkisebbkovetesitavolsag,Prohibitory,tilalmi_legkisebbkovetesitavolsag.jpg,Legkisebb követési távolság!,Minimum driving distance between vehicles!,C-026,Hungary road sign C-026.svg,wikimedia
tilalmi_legkisebbkovetesitavolsag1,Prohibitory,tilalmi_legkisebbkovetesitavolsag1.png,Legkisebb követési távolság!,Minimum driving distance between vehicles!,C-027,Hungary road sign C-027.svg,wikimedia
tilalmi_megallnitilos,Prohibitory,tilalmi_megallnitilos.jpg,Megállni tilos!,"No stopping, not even to pick up or set down passengers!",C-048,Hungary road sign C-048.svg,wikimedia
tilalmi_megfordulnitilos,Prohibitory,tilalmi_megfordulnitilos.jpg,Megfordulni tilos!,No U turn!,C-030,Hungary road sign C-030.svg,wikimedia
tilalmi_mgvbiciklilovaskocsivalbehajtanitilos,Prohibitory,tilalmi_mgvbiciklilovaskocsivalbehajtanitilos.jpg,Mezőgazdasági vontatóval kerékpárral lovaskocsival behajtani tilos!,"No entry with agricultural vehicles, horse drawn, cycles!",C-020,Hungary road sign C-020.svg,wikimedia
tilalmi_mgvontatovalbehajtanitilos,Prohibitory,tilalmi_mgvontatovalbehajtanitilos.jpg,"Mezőgazdasági vontatóval, lassú járművel behajtani tilos!",No entry with agricultural vehicles and slow vehicles!,C-016,Hungary road sign C-016.svg,wikimedia
tilalmi_mindketiranybolbehajtanitilos,Prohibitory,tilalmi_mindketiranybolbehajtanitilos.jpg,Mindkét irányból behajtani tilos!,No vehicles except pedal cycles being pushed by hand!,C-002,Hungary road sign C-002.svg,wikimedia
tilalmi_motorkerekparralbehajtanitilos,Prohibitory,tilalmi_motorkerekparralbehajtanitilos.jpg,"Motorkerékpárral behajtani tilos! Motorkerékpárral, oldalkocsis motorkerékpárral és motoros triciklivel behajtani tilos!","No motorcycles! Motorcycles, motorcycles with sidecar, tricycles!",C-004,Hungary road sign C-004.svg,wikimedia
tilalmi_motorkerekparraszgkvalbehajtanitilos,Prohibitory,tilalmi_motorkerekparraszgkvalbehajtanitilos.jpg,Motorkerékpárral és gépjárművel behajtani tilos!,No motorcycles and automotive vehicles!,C-003,Hungary road sign C-003.svg,wikimedia
tilalmi_ossztomegkorlatozas55t,Prohibitory,tilalmi_ossztomegkorlatozas55t.jpg,Össztömeg korlátozás! Az úton a táblán megjelölt nél nagyobb össztömegű járművel (járműszerelvénnyel) közlekedni tilos!,No vehicles over the maximum gross weight!,C-023,Hungary road sign C-023.svg,wikimedia
tilalmi_sebessegkorlatozas30,Prohibitory,tilalmi_sebessegkorlatozas30.jpg,Sebességkorlátozás!,The maximum speed in km per hour!,C-033,,original
tilalmi_magassagkorlatozas36m,Prohibitory,tilalmi_magassagkorlatozas36m.jpg,Magasságkorlátozás!,No vehicles over the height shown may pass the sign!,C-022,Hungary road sign C-022.svg,wikimedia
tilalmi_szelessegkorlatozas2m,Prohibitory,tilalmi_szelessegkorlatozas2m.jpg,Szélességkorlátozás! Az így megjelölt úton a táblán megjelöltnél (rakományával együtt) szélesebb járművel közlekedni tilos!,No vehicles over maxumum width shown!,C-021,Hungary road sign C-021.svg,wikimedia
tilalmi_tehergepkocsivalbehajtanitilos10t,Prohibitory,tilalmi_tehergepkocsivalbehajtanitilos10t.jpg,Megadott össztömegértéket meghaladó tehergépkocsival behajtani tilos!,No with goods vehicles which gross weight over the shown!,C-008,Hungary road sign C-008.svg,wikimedia
tilalmi_tehergepkocsivalbehajtanitilos35t,Prohibitory,tilalmi_tehergepkocsivalbehajtanitilos35t.jpg,Megadott rakodósúlyt meghaladó tehergépkocsival behajtani tilos!,No with goods vehicles which loading weight over the shown!,,,original
tilalmi_potkocsivalbehajtanitilos5t,Prohibitory,tilalmi_potkocsivalbehajtanitilos5t.jpg,"Pótkocsival behajtani tilos, ha bármely pótkocsi össztömege meghaladja a feltüntetett értéket!",No vehicles with trailer!,C-010,Hungary road sign C-010.svg,wikimedia
tilalmi_robbanotuzveszanyszalljarmuvelbehajtanitilos,Prohibitory,tilalmi_robbanotuzveszanyszalljarmuvelbehajtanitilos.jpg,Tűzveszélyes vagy robbanóanyagot szállító járművel behajtani tilos!,No explosives! No vehicles which carrying explosives!,C-017,Hungary road sign C-017.svg,wikimedia
tilalmi_sebessegkorlatozasvege,Prohibitory,tilalmi_sebessegkorlatozasvege.jpg,Sebességkorlátozás vége!,End of the maxumum speed limit!,C-044,Hungary road sign C-044.svg,wikimedia
tilalmi_tehergepkocsivalbehajtanitilos,Prohibitory,tilalmi_tehergepkocsivalbehajtanitilos.jpg,Tehergépkocsival behajtani tilos!,No goods vehicles!,C-007,Hungary road sign C-007.svg,wikimedia
tilalmi_tehergepkocsivaleloznitilos,Prohibitory,tilalmi_tehergepkocsivaleloznitilos.png,Tehergépkocsival előzni tilos! 3500kg-ot meghaladó megengedett legnagyobb összsúlyu tehergépkocsival előzni tilos!,No overtaking with goods vehicles! No overtaking those goods vehicles which gross weight over than 3500kg!,C-032,Hungary road sign C-032.svg,wikimedia
tilalmi_tehergepkocsivaleloznitilos75,Prohibitory,tilalmi_tehergepkocsivaleloznitilos75.png,Tehergépkocsival előzni tilos! 3500kg-ot meghaladó megengedett legnagyobb összsúlyu tehergépkocsival előzni tilos! A megadott legnagyobb össztömegű tehergépkocsikra vonatkozik!,No overtaking with goods vehicles! No overtaking those goods vehicles which gross weight over than 7.5t!,,,original
tilalmi_tehergepkocsivaleloznitilovege,Prohibitory,tilalmi_tehergepkocsivaleloznitilovege.jpg,Tehergépkocsival előzni tilos vége!,End of overtaking restriction for goods vehicles!,C-046,Hungary road sign C-046.svg,wikimedia
tilalmi_varakoznitilos,Prohibitory,tilalmi_varakoznitilos.jpg,Várakozni tilos!,No waiting!,C-047,Hungary road sign C-047.svg,wikimedia
tilalmi_veszelyesanyagotszalljarmuvelbehajtanitilos,Prohibitory,tilalmi_veszelyesanyagotszalljarmuvelbehajtanitilos.jpg,Veszélyes anyagot szállító járművel behajtani tilos!,No entry with vehicles which carrying dangerous goods!,C-012,Hungary road sign C-012.svg,wikimedia
tilalmi_vizszennyezoanyagotszallitojarmuvelbehajtanitilos,Prohibitory,tilalmi_vizszennyezoanyagotszallitojarmuvelbehajtanitilos.jpg,Vízszennyező anyagot szállító járművel behajtani tilos!,No entry with vehicles which carrying water pollution goods!,C-018,Hungary road sign C-018.svg,wikimedia
tilalmi_lovaskocsivallbehajtanitilos,Prohibitory,tilalmi_lovaskocsivallbehajtanitilos.jpg,Lovaskocsival behajtani tilos!,No horse drawn!,C-014,Hungary road sign C-014.svg,wikimedia
tilalmi_tilalmakvege,Prohibitory,tilalmi_tilalmakvege.jpg,Mozgó járművekre vonatkozó tilalmak vége!,End of restrictions for moving vehicles!,C-043,Hungary road sign C-043.svg,wikimedia
veszely_bukkano,Warning,veszely_bukkano.jpg,Bukkanó! A domborzai viszonyok miatt a kilátás korlátozott!,Road humps,A-014,Hungary road sign A-014.svg,wikimedia
veszely_csuszosuttest,Warning,veszely_csuszosuttest.jpg,Csúszós úttest!,Slippery road,A-016,Hungary road sign A-016.svg,wikimedia
veszely_egyebveszely,Warning,veszely_egyebveszely.jpg,Egyéb veszély!,Other danger,A-053,Hungary road sign A-053.svg,wikimedia
veszely_jardaszigetnelkulivillamosmegallo,Warning,veszely_jardaszigetnelkulivillamosmegallo.png,"Veszélyes hely, járdasziget nélküli villamosmegálló. A gyalogosok le és felszállása az úttestre/ről történik!","Danger zone, Tram stop without traffic island. Pedestrians get in and get off to/from the tram happens on the road!",,,original
veszely_egyenetlenuttest,Warning,veszely_egyenetlenuttest.jpg,Egyenetlen úttest!,Uneven road!,A-013,Hungary road sign A-013.svg,wikimedia
veszely_egyenetlenuttest50,Warning,veszely_egyenetlenuttest50.png,Egyenetlen úttest a kiegészítő táblán jelzett távon!,Uneven road! Distance shown!,,,original
veszely_egyenranguutakkeresztezodese,Warning,veszely_egyenranguutakkeresztezodese.jpg,Egyenrangú utak kereszteződése!,Peer to Peer roads crossing!,A-027,Hungary road sign A-027.svg,wikimedia
veszely_emelkedo,Warning,veszely_emelkedo.jpg,Veszélyes emelkedő! A százalékos érték az útszakas legnagyobb emelkedését jelzi!,Dangerous steep uphill! Steep hill upwards. Shown in percent.,A-006,Hungary road sign A-006.svg,wikimedia
veszely_veszelyeslejto,Warning,veszely_veszelyeslejto.jpg,Veszélyes lejtő! A százalékos érték az útszakas legnagyobb lejtését jelzi!,Dangerous escarpment incline! Steep hill downwards. Shown in percent!,A-005,Hungary road sign A-005.svg,wikimedia
veszely_forgalmitorlodas,Warning,veszely_forgalmitorlodas.jpg,Forgalmi torlódás! A tábla azt jelzi hogy az úton forgalmi akadályt képezhetnek a feltorlódott járművek.,Traffic queues likely ahead!,A-057,Hungary road sign A-057.svg,wikimedia
veszely_gyalogosatkeles,Warning,veszely_gyalogosatkeles.jpg,Gyalogosátkelés!,Zebra crossing!,A-020,Hungary road sign A-020.svg,wikimedia
veszely_gyalogosok,Warning,veszely_gyalogosok.jpg,Gyalogosok!,Pedestrians in road!,A-054,Hungary road sign A-054.svg,wikimedia
veszely_gyermekek,Warning,veszely_gyermekek.jpg,Gyermekek!,Children going to or from school!,A-021,Hungary road sign A-021.svg,wikimedia
veszely_haziallatok,Warning,veszely_haziallatok.jpg,Háziállatok!,Cattle crossing ahead!,A-023,Hungary road sign A-023.svg,wikimedia
veszely_kavicsfelverodes,Warning,veszely_kavicsfelverodes.jpg,Kavicsfelverődés!,Loose stones!,A-017,Hungary road sign A-017.svg,wikimedia
veszely_kerekparosok,Warning,veszely_kerekparosok.jpg,Kerékpárosok!,Pedal cycle route crossing or joining road ahead!,A-022,Hungary road sign A-022.svg,wikimedia
veszely_utatkeresztezokerekparut,Warning,veszely_utatkeresztezokerekparut.png,Utat keresztező kerékpárút!,Pedal cycle route crossing!,,,original
veszely_kompatkelesnyithatohid,Warning,veszely_kompatkelesnyithatohid.jpg,Kompátkelés vagy nyitható híd!,Opening or swing bridge!,A-010,Hungary road sign A-010.svg,wikimedia
veszely_koomlas,Warning,veszely_koomlas.jpg,Kőomlás!,Risk of falling of fallen rocks!,A-018,Hungary road sign A-018.svg,wikimedia
veszely_koomlasj,Warning,veszely_koomlasj.jpg,Kőomlás jobbról!,Risk of falling of fallen rocks at right!,A-019,Hungary road sign A-019.svg,wikimedia
veszely_korforgalomelorejelzese,Warning,veszely_korforgalomelorejelzese.jpg,körforgalom előrejelzése!,Roundabout!,A-056,Hungary road sign A-056.svg,wikimedia
veszely_melyrepules,Warning,veszely_melyrepules.jpg,Mélyrepülés!,Low-flying aircraft or sudden aircraft noise!,A-051,Hungary road sign A-051.svg,wikimedia
veszely_oldalszel,Warning,veszely_oldalszel.jpg,Oldalszél!,Cross-wind!,A-052,Hungary road sign A-052.svg,wikimedia
veszely_rakpartmeredekpart,Warning,veszely_rakpartmeredekpart.jpg,"Rakpart, meredek part!",Quayside or river bank on right!,A-011,Hungary road sign A-011.svg,wikimedia
